AppID,Game Name,Release Date,Developer,Genres,Price ($),Recommendations,Metacritic Score
1848890,Gordon Streaman 2,"Feb 7, 2022",Brouillard,"Indie, RPG, Simulation",12.99,0,N/A
1983360,Mana Valley,To be announced,AIAdev,"Action, Adventure, Casual, Indie, Racing, RPG, Simulation, Free To Play",Free,0,N/A
2272310,Colourblind,"Sep 12, 2023",IcarusDev,"Action, Adventure, Casual, Indie, Free To Play",Free,0,N/A
1057750,The Suicide of Rachel Foster,"Feb 19, 2020",ONE-O-ONE GAMES,"Adventure, Casual, Indie",17.99,4677,N/A
2272880,ParaSHOTical ARKtiviBeatings,"Feb 14, 2023",Code Avarice,"Action, Indie",4.99,0,N/A
2849870,Snip It!,"Mar 22, 2024",ryshaw,"Action, Casual, Indie, Free To Play",Free,0,N/A
1596310,Crypto Mining Simulator,"Apr 24, 2021",Satosha Nakamoti,"Casual, Indie, Simulation, Strategy",4.99,1325,N/A
2864510,College Gay Sex - Episode 2,"Mar 8, 2024",EroticGamesClub,"Adventure, Casual, Indie",0.99,0,N/A
3053960,Ninja and the Quest for the Jade Statue,"Oct 25, 2024",our_flag_means_fun,"Adventure, Casual, Indie",2.99,0,N/A
2098350,Escape Memoirs: Mini Stories,"Sep 30, 2022",0 Deer Soft,"Adventure, Casual, Indie, Free To Play",Free,0,N/A
1190060,The Last Deathbound,"Dec 13, 2019",Kenny Doan,"Action, Indie",4.99,0,65
700770,ZoneDriver,"Mar 29, 2018",Cybertime System,"Action, Indie, Massively Multiplayer, Racing",0.99,0,N/A
938810,雨鸦 - You are my sanctuary,"Sep 25, 2018",迷糊的安安,"Indie, RPG, Free To Play",Free,0,N/A
2095230,Limousine Parking Simulator,"Aug 10, 2022",LoLGames,"Casual, Indie, Racing, Simulation",0.99,0,N/A
3096710,Aetheria: Whispers of the Forest Moon,To be announced,Skymachine,"Adventure, Indie, RPG",Free,0,N/A
2202900,Out of the ground,"Dec 13, 2022",Max Pedro,"Action, Adventure, Casual, Indie",2.19,0,N/A
1731260,Sketch Crawler,"Nov 1, 2024",Koan,"Indie, RPG, Free To Play",Free,0,N/A
3009040,Roswell Ranch,"Aug 22, 2024",HELIX Games,"Indie, Free To Play",Free,0,N/A
3193520,Fraudster,"Sep 16, 2024",Xi Zhang,"Casual, Indie, RPG",3.99,0,N/A
807690,Achilles,"May 17, 2019",Bob Tedesco Jr,"Casual, Indie, Strategy",3.99,0,N/A
872240,Nick Beard: The Fedora of Destiny,"Jul 8, 2018",dhamster,"Indie, RPG, Free To Play",Free,0,N/A
2960250,Tempus Triad,Q1 2025,Mendesz,"Action, Indie",Free,0,N/A
1784180,Fragment Hunters,"Aug 18, 2022",Crynsystems,"Action, Casual, Indie, Free To Play",Free,0,N/A
906730,Typical,"Dec 15, 2018",kalanhow,"Adventure, Casual, Indie",7.99,0,N/A
689900,Darkestville Castle,"Sep 21, 2017",Epic Llama Games,"Adventure, Indie",1.49,508,68
870570,Black Steel,To be announced,Glob Games Studio,"Adventure, Indie",Free,0,N/A
2873380,Chaotic Conflicts,Q4 2024,Steampunk,"Action, Casual, Indie",Free,0,N/A
2820940,Minako: Beloved Wife in the Countryside,"Apr 19, 2024",Happy Life,"Adventure, Indie, RPG",9.99,0,N/A
1080010,Witchtastic,"Oct 26, 2021",Red Fur Games,"Action, Casual, Indie, Simulation",17.99,165,N/A
1828180,RATOMON 2,To be announced,justalexi,"Action, Indie",Free,0,N/A
1928500,Secret Camera,"Feb 13, 2023",Secret Camera,"Action, Casual, Indie",7.99,179,N/A
653780,Defend Your Kingdom,"Jun 27, 2017",Burning Pick Entertainment,"Action, Indie, Strategy",Free,0,N/A
2471780,Lost Connections,"Jun 29, 2023","Amber Pearl, Nofar Evyoni","Casual, Free To Play, Indie",Free,0,N/A
2271890,Firework Simulator,"Feb 1, 2023",echomune,"Indie, Simulation",11.99,0,N/A
1178000,Ghost Dimension,"Jan 17, 2020",Old School Vibes,"Adventure, Casual, Indie",0.99,0,N/A
1329080,BORIS THE ROCKET 🚀,"Oct 14, 2020",toR Studio,"Adventure, Indie, Simulation",9.99,0,N/A
2597360,Citadale - The Accursed Seal,"Oct 4, 2024",ERMedia,"Action, Adventure, Indie",9.99,0,N/A
3268460,Towerful Guardians,To be announced,Mini Fun Games,"Action, Casual, Indie, Strategy",Free,0,N/A
1082650,Link the Animals,"Jun 1, 2019",Wesoft Solutions,"Casual, Indie, Strategy",1.99,0,N/A
933930,Tiny Love,"Feb 15, 2019",Alterindie LLC,"Adventure, Casual, Free To Play, Indie",Free,0,N/A
634160,Cattails | Become a Cat!,"Dec 1, 2017",Falcon Development,"Casual, Indie, RPG, Simulation",14.99,2191,N/A
1294630,Shape Storm,"May 12, 2020",Freddie Lorenz,"Action, Indie",Free,0,N/A
1239300,Gravewood High,"May 3, 2023",HeroCraft PC,"Action, Adventure, Indie",Free,0,N/A
3130120,SUSHI Drop,"Aug 12, 2024",SAT-BOX,"Action, Casual, Indie, Simulation",6.99,0,N/A
2516430,Cyborg3003,"Aug 15, 2024",Rodrigo Banzato,"Action, Adventure, Indie",13.59,0,N/A
1421930,BLIND QUEST - The Frost Demon,"Mar 18, 2021",Associazione Audiogames,"Adventure, Indie, RPG",4.19,0,N/A
2685760,Team Disorder Special Edition,"Feb 1, 2024",Heatwave Games,"Action, Adventure, Indie, Strategy",12.99,0,N/A
1198700,Chained: A Victorian Nightmare,"Dec 19, 2019",MWM Interactive,"Adventure, Casual, Indie",4.99,0,N/A
653020,Lumins and Shades,"Oct 27, 2023",TheOnlyOne,"Casual, Indie, Strategy",14.99,0,N/A
457010,StarsOne,"Apr 8, 2016",IllusoryWorldEntertainment,"Action, Indie, Massively Multiplayer",9.99,479,N/A
923900,Lightning Angel Litona Liliche 섬광천사 리토나 리리셰,"Dec 4, 2018","TALESSHOP Co., Ltd.","Casual, Indie, Simulation",11.99,0,N/A
3204400,Monster DNA,2025,"CH757, Key",Indie,Free,0,N/A
